"","ID","NUTSID","iso_week","iso_yr","mean_tmpmean","mean_tmpwgtmean","mean_tmplogwgtmean","mean_tmp65plsmean","geo_code","geo_lab","year","TIME_PERIOD","death_count_tot","death_pop_an","stn_death","crude_death"
"34","2013-W01-FRF12","FRF12",1,2013,4.476167400678,4.83867291609446,4.09948229789734,5.14517545700073,NA,NA,NA,NA,NA,NA,NA,NA
"35","2013-W01-FRF21","FRF21",1,2013,6.1432353258133,6.0611439148585,6.16508464018504,5.05484962463379,NA,NA,NA,NA,NA,NA,NA,NA
"36","2013-W01-FRF22","FRF22",1,2013,6.36616071065267,6.6718495686849,6.30973494052887,6.75777769088745,NA,NA,NA,NA,NA,NA,NA,NA
"37","2013-W01-FRF23","FRF23",1,2013,6.54754944642385,6.84740742047628,6.47775860627492,5.94420576095581,NA,NA,NA,NA,NA,NA,NA,NA
"38","2013-W01-FRF24","FRF24",1,2013,4.85678764184316,5.09701557954153,4.82545415560404,5.25468492507935,NA,NA,NA,NA,NA,NA,NA,NA
"39","2013-W01-FRF31","FRF31",1,2013,5.33624084790547,5.48980204264323,5.26272118091583,5.8506326675415,NA,NA,NA,NA,NA,NA,NA,NA
"40","2013-W01-FRF32","FRF32",1,2013,5.64038264751434,5.66306436061859,5.63071894645691,5.20569849014282,NA,NA,NA,NA,NA,NA,NA,NA
"41","2013-W01-FRF33","FRF33",1,2013,5.28316382567088,5.56031672159831,5.11871715386709,5.26805114746094,NA,NA,NA,NA,NA,NA,NA,NA
"42","2013-W01-FRF34","FRF34",1,2013,3.95861379305522,3.88260565201442,4.03115797042847,4.54959058761597,NA,NA,NA,NA,NA,NA,NA,NA
"43","2013-W01-FRG01","FRG01",1,2013,7.74066344896952,7.81836867332459,7.66742833455404,8.58422374725342,NA,NA,NA,NA,NA,NA,NA,NA
"44","2013-W01-FRG02","FRG02",1,2013,7.38000345230103,7.43305047353109,7.36242906252543,8.10563373565674,NA,NA,NA,NA,NA,NA,NA,NA
"45","2013-W01-FRG03","FRG03",1,2013,6.72356740633646,6.85576868057251,6.68306310971578,7.01674509048462,NA,NA,NA,NA,NA,NA,NA,NA
"46","2013-W01-FRG04","FRG04",1,2013,6.90094176928202,7.00714230537415,6.86194117863973,7.43905115127563,NA,NA,NA,NA,NA,NA,NA,NA
"47","2013-W01-FRG05","FRG05",1,2013,7.65929277737935,7.68444840113322,7.6604380607605,8.42900276184082,NA,NA,NA,NA,NA,NA,NA,NA
"48","2013-W01-FRH01","FRH01",1,2013,7.72391176223755,7.89124083518982,7.61150511105856,7.38518714904785,NA,NA,NA,NA,NA,NA,NA,NA
"49","2013-W01-FRH02","FRH02",1,2013,8.80010477701823,9.04198511441549,8.61463729540507,7.90726041793823,NA,NA,NA,NA,NA,NA,NA,NA
"50","2013-W01-FRH03","FRH03",1,2013,7.34138615926107,7.42083470026652,7.30540696779887,7.56937551498413,NA,NA,NA,NA,NA,NA,NA,NA
"51","2013-W01-FRH04","FRH04",1,2013,7.68936196962992,7.9190870920817,7.59512662887573,7.82433128356934,NA,NA,NA,NA,NA,NA,NA,NA
"52","2013-W01-FRI11","FRI11",1,2013,5.81468566258748,5.79615743954977,5.82143485546112,8.49001598358154,NA,NA,NA,NA,NA,NA,NA,NA
"53","2013-W01-FRI12","FRI12",1,2013,7.23698782920837,7.30702487627665,7.27035800615946,9.96639728546143,NA,NA,NA,NA,NA,NA,NA,NA
"54","2013-W01-FRI13","FRI13",1,2013,6.98641133308411,7.22500626246134,6.93956208229065,10.3917036056519,NA,NA,NA,NA,NA,NA,NA,NA
"55","2013-W01-FRI14","FRI14",1,2013,6.35782051086426,6.41010197003682,6.34080243110657,9.23857021331787,NA,NA,NA,NA,NA,NA,NA,NA
"56","2013-W01-FRI15","FRI15",1,2013,5.72566342353821,6.52861022949219,5.18495631217956,8.6076831817627,NA,NA,NA,NA,NA,NA,NA,NA
"57","2013-W01-FRI21","FRI21",1,2013,5.01454651355744,5.33064031600952,4.90491223335266,6.93036937713623,NA,NA,NA,NA,NA,NA,NA,NA
"58","2013-W01-FRI22","FRI22",1,2013,4.7285365263621,4.83617611726125,4.6827943722407,6.28470849990845,NA,NA,NA,NA,NA,NA,NA,NA
"59","2013-W01-FRI23","FRI23",1,2013,5.48840987682343,5.66286412874858,5.46538460254669,7.59033632278442,NA,NA,NA,NA,NA,NA,NA,NA
"60","2013-W01-FRI31","FRI31",1,2013,6.54913945992788,6.70595590273539,6.49831811587016,8.38842487335205,NA,NA,NA,NA,NA,NA,NA,NA
"61","2013-W01-FRI32","FRI32",1,2013,7.41375470161438,7.69203162193298,7.32137926419576,9.17207336425781,NA,NA,NA,NA,NA,NA,NA,NA
"62","2013-W01-FRI33","FRI33",1,2013,7.13289570808411,7.17829497655233,7.12738871574402,8.15169429779053,NA,NA,NA,NA,NA,NA,NA,NA
"63","2013-W01-FRI34","FRI34",1,2013,7.0944554011027,7.21190977096558,7.04922715822856,8.03811836242676,NA,NA,NA,NA,NA,NA,NA,NA
"64","2013-W01-FRJ11","FRJ11",1,2013,7.30880681673686,7.76108622550965,7.15186683336894,8.83938407897949,NA,NA,NA,NA,NA,NA,NA,NA
"65","2013-W01-FRJ12","FRJ12",1,2013,8.13032293319702,8.62162701288858,7.6744937102,6.69394874572754,NA,NA,NA,NA,NA,NA,NA,NA
"66","2013-W01-FRJ13","FRJ13",1,2013,8.08996884028117,8.88388125101726,7.41630570093791,8.7460298538208,NA,NA,NA,NA,NA,NA,NA,NA
"67","2013-W01-FRJ14","FRJ14",1,2013,3.67182723929485,3.80583304166794,3.63058021167914,2.7167022228241,NA,NA,NA,NA,NA,NA,NA,NA
"68","2013-W01-FRJ15","FRJ15",1,2013,8.85002613067628,11.9714883168538,7.19840766986211,7.69854879379272,NA,NA,NA,NA,NA,NA,NA,NA
"69","2013-W01-FRJ21","FRJ21",1,2013,3.88703201214473,5.1563732624054,3.18058277418216,5.32367944717407,NA,NA,NA,NA,NA,NA,NA,NA
"70","2013-W01-FRJ22","FRJ22",1,2013,3.70529264211654,3.70163222153981,3.69500068823496,5.59002208709717,NA,NA,NA,NA,NA,NA,NA,NA
"71","2013-W01-FRJ23","FRJ23",1,2013,5.40361305077871,5.94710930188497,4.80021413167318,8.64011859893799,NA,NA,NA,NA,NA,NA,NA,NA
"72","2013-W01-FRJ24","FRJ24",1,2013,5.92214584350586,5.93268326918284,5.92019418875376,8.77981376647949,NA,NA,NA,NA,NA,NA,NA,NA
