"","ID","NUTSID","iso_week","iso_yr","min_tmpavg","min_tmpwgtavg","min_tmplogwgtavg","min_tmp65plsavg","geo_code","geo_lab","year","TIME_PERIOD","death_count_tot","death_pop_an","stn_death","crude_death"
"34","2013-W01-FRF12","FRF12",1,2013,1.9438369832933,2.24003695944945,1.62629989782969,2.27911727627119,NA,NA,NA,NA,NA,NA,NA,NA
"35","2013-W01-FRF21","FRF21",1,2013,4.39882151037455,4.29254826406638,4.4262085929513,4.30351182321708,NA,NA,NA,NA,NA,NA,NA,NA
"36","2013-W01-FRF22","FRF22",1,2013,4.77908276518186,5.00323132673899,4.73938705523809,5.00169062614441,NA,NA,NA,NA,NA,NA,NA,NA
"37","2013-W01-FRF23","FRF23",1,2013,4.78046777844429,4.96106373767058,4.72347279886405,4.96108022828897,NA,NA,NA,NA,NA,NA,NA,NA
"38","2013-W01-FRF24","FRF24",1,2013,3.19100749368469,3.45079996685187,3.16344735771418,3.44808011005322,NA,NA,NA,NA,NA,NA,NA,NA
"39","2013-W01-FRF31","FRF31",1,2013,3.51408731937409,3.54503333196044,3.47534515460332,3.54396028444171,NA,NA,NA,NA,NA,NA,NA,NA
"40","2013-W01-FRF32","FRF32",1,2013,4.0786671936512,4.11294345060984,4.06904659668604,4.11302025119464,NA,NA,NA,NA,NA,NA,NA,NA
"41","2013-W01-FRF33","FRF33",1,2013,3.37255510439475,3.52575012296438,3.2963273289303,3.55311878025532,NA,NA,NA,NA,NA,NA,NA,NA
"42","2013-W01-FRF34","FRF34",1,2013,2.27432669823368,2.17808293178677,2.35690751423438,2.18017905205488,NA,NA,NA,NA,NA,NA,NA,NA
"43","2013-W01-FRG01","FRG01",1,2013,6.225468258063,6.24838813145955,6.19232912858327,6.21164296070735,NA,NA,NA,NA,NA,NA,NA,NA
"44","2013-W01-FRG02","FRG02",1,2013,5.71500978867213,5.79486275712649,5.69086374839147,5.79334365328153,NA,NA,NA,NA,NA,NA,NA,NA
"45","2013-W01-FRG03","FRG03",1,2013,5.12255376577377,5.26887762546539,5.07620465755463,5.2660838564237,NA,NA,NA,NA,NA,NA,NA,NA
"46","2013-W01-FRG04","FRG04",1,2013,5.26511721569114,5.3715984771649,5.22744359945258,5.36869761347771,NA,NA,NA,NA,NA,NA,NA,NA
"47","2013-W01-FRG05","FRG05",1,2013,5.78236357371012,5.85335193077723,5.76221269369125,5.82343608140946,NA,NA,NA,NA,NA,NA,NA,NA
"48","2013-W01-FRH01","FRH01",1,2013,6.48658816019694,6.65613706906637,6.3681149482727,6.63142744700114,NA,NA,NA,NA,NA,NA,NA,NA
"49","2013-W01-FRH02","FRH02",1,2013,7.31546767552694,7.65260950724284,7.08175468444824,7.61869072914123,NA,NA,NA,NA,NA,NA,NA,NA
"50","2013-W01-FRH03","FRH03",1,2013,5.92363778750102,5.94389975070953,5.90514874458313,5.93456614017486,NA,NA,NA,NA,NA,NA,NA,NA
"51","2013-W01-FRH04","FRH04",1,2013,6.23643910884857,6.45691593488058,6.14925030867258,6.42169920603434,NA,NA,NA,NA,NA,NA,NA,NA
"52","2013-W01-FRI11","FRI11",1,2013,3.36719232673446,3.31518625716368,3.38566525528828,3.31412147730589,NA,NA,NA,NA,NA,NA,NA,NA
"53","2013-W01-FRI12","FRI12",1,2013,4.88675741354625,4.95691196123759,4.92356320222219,4.94417444864909,NA,NA,NA,NA,NA,NA,NA,NA
"54","2013-W01-FRI13","FRI13",1,2013,4.47749904791514,4.77622640132904,4.41337196032206,4.71057744820913,NA,NA,NA,NA,NA,NA,NA,NA
"55","2013-W01-FRI14","FRI14",1,2013,4.172889093558,4.21749047438304,4.15709271033605,4.21737231810888,NA,NA,NA,NA,NA,NA,NA,NA
"56","2013-W01-FRI15","FRI15",1,2013,2.42456391453743,3.3408016761144,1.82370241420965,3.11584321657817,NA,NA,NA,NA,NA,NA,NA,NA
"57","2013-W01-FRI21","FRI21",1,2013,2.14067627117038,2.5103001371026,2.02076250376801,2.51187544564406,NA,NA,NA,NA,NA,NA,NA,NA
"58","2013-W01-FRI22","FRI22",1,2013,3.08480049173037,3.17981240153313,3.03299580017726,3.17897372444471,NA,NA,NA,NA,NA,NA,NA,NA
"59","2013-W01-FRI23","FRI23",1,2013,3.48408674945434,3.6759703575323,3.4652284582456,3.67629786146184,NA,NA,NA,NA,NA,NA,NA,NA
"60","2013-W01-FRI31","FRI31",1,2013,4.20814663171768,4.36541700363159,4.16156747937202,4.36517501870791,NA,NA,NA,NA,NA,NA,NA,NA
"61","2013-W01-FRI32","FRI32",1,2013,5.12293948729833,5.56260778506597,4.96342211961746,5.49143574635188,NA,NA,NA,NA,NA,NA,NA,NA
"62","2013-W01-FRI33","FRI33",1,2013,5.17669987678528,5.18964347243309,5.1741775671641,5.18895926574866,NA,NA,NA,NA,NA,NA,NA,NA
"63","2013-W01-FRI34","FRI34",1,2013,5.22081671158473,5.36494517326355,5.17034228146076,5.36438841621081,NA,NA,NA,NA,NA,NA,NA,NA
"64","2013-W01-FRJ11","FRJ11",1,2013,4.29023875792821,4.97711098194122,3.96430250008901,4.92245137691498,NA,NA,NA,NA,NA,NA,NA,NA
"65","2013-W01-FRJ12","FRJ12",1,2013,3.84884693225225,4.6966773668925,3.17394124468168,4.68308508396149,NA,NA,NA,NA,NA,NA,NA,NA
"66","2013-W01-FRJ13","FRJ13",1,2013,3.64262821773688,3.83200715854764,3.3029870390892,3.71689125150442,NA,NA,NA,NA,NA,NA,NA,NA
"67","2013-W01-FRJ14","FRJ14",1,2013,0.364620467027028,0.34806830684344,0.343732813994088,0.34633978207906,NA,NA,NA,NA,NA,NA,NA,NA
"68","2013-W01-FRJ15","FRJ15",1,2013,4.74739493926366,7.93399310111999,3.13385824859142,7.90626613299051,NA,NA,NA,NA,NA,NA,NA,NA
"69","2013-W01-FRJ21","FRJ21",1,2013,-0.349723617235818,0.790498182177543,-0.947685301303863,0.79786964257558,NA,NA,NA,NA,NA,NA,NA,NA
"70","2013-W01-FRJ22","FRJ22",1,2013,1.08663563927015,1.20341389377912,1.00773988912503,1.20359612504641,NA,NA,NA,NA,NA,NA,NA,NA
"71","2013-W01-FRJ23","FRJ23",1,2013,2.12324418624242,3.66846450666586,0.823645015557608,3.669686794281,NA,NA,NA,NA,NA,NA,NA,NA
"72","2013-W01-FRJ24","FRJ24",1,2013,3.47586565713088,3.50301916400592,3.4714154402415,3.50370775659879,NA,NA,NA,NA,NA,NA,NA,NA
"73","2013-W01-FRJ25","FRJ25",1,2013,2.82191692541043,2.84742382417122,2.81181407223145,2.84269192814827,NA,NA,NA,NA,NA,NA,NA,NA
"74","2013-W01-FRJ26","FRJ26",1,2013,-0.675226747989655,0.198711706111985,-1.29191565016906,0.202034693172513,NA,NA,NA,NA,NA,NA,NA,NA
