"","ID","NUTSID","iso_week","iso_yr","max_tmpavg","max_tmpwgtavg","max_tmplogwgtavg","max_tmp65plsavg","geo_code","geo_lab","year","TIME_PERIOD","death_count_tot","death_pop_an","stn_death","crude_death"
"34","2013-W01-FRF12","FRF12",1,2013,6.7843378384908,7.16744224230448,6.3751388390859,7.15666309992472,NA,NA,NA,NA,NA,NA,NA,NA
"35","2013-W01-FRF21","FRF21",1,2013,7.88439671198527,7.78326098124186,7.91355204582214,7.7997358640035,NA,NA,NA,NA,NA,NA,NA,NA
"36","2013-W01-FRF22","FRF22",1,2013,7.91070898373922,8.32236631711324,7.83705369631449,8.32165773709615,NA,NA,NA,NA,NA,NA,NA,NA
"37","2013-W01-FRF23","FRF23",1,2013,8.20904541015625,8.50930897394816,8.1463356812795,8.51049478848775,NA,NA,NA,NA,NA,NA,NA,NA
"38","2013-W01-FRF24","FRF24",1,2013,6.53633228937785,6.79991428057353,6.49634909629822,6.7979744275411,NA,NA,NA,NA,NA,NA,NA,NA
"39","2013-W01-FRF31","FRF31",1,2013,7.11873324712117,7.34516557057699,7.00953602790833,7.35234967867533,NA,NA,NA,NA,NA,NA,NA,NA
"40","2013-W01-FRF32","FRF32",1,2013,7.19254676500956,7.21535261472066,7.18137470881144,7.21409980456034,NA,NA,NA,NA,NA,NA,NA,NA
"41","2013-W01-FRF33","FRF33",1,2013,7.04208596547445,7.38399187723796,6.85635153452555,7.42297689119975,NA,NA,NA,NA,NA,NA,NA,NA
"42","2013-W01-FRF34","FRF34",1,2013,5.63048148155212,5.55577007929484,5.69910192489624,5.55694325764974,NA,NA,NA,NA,NA,NA,NA,NA
"43","2013-W01-FRG01","FRG01",1,2013,9.25223835309347,9.37789869308473,9.13409884770711,9.36981519063315,NA,NA,NA,NA,NA,NA,NA,NA
"44","2013-W01-FRG02","FRG02",1,2013,9.02727254231771,9.0743559996287,9.00654824574787,9.07343586285909,NA,NA,NA,NA,NA,NA,NA,NA
"45","2013-W01-FRG03","FRG03",1,2013,8.27597761154174,8.37098169326782,8.24538850784301,8.36924926439921,NA,NA,NA,NA,NA,NA,NA,NA
"46","2013-W01-FRG04","FRG04",1,2013,8.49637786547343,8.61281530062357,8.45155366261801,8.61083602905273,NA,NA,NA,NA,NA,NA,NA,NA
"47","2013-W01-FRG05","FRG05",1,2013,9.50662326812745,9.48903926213582,9.53429865837097,9.48111057281494,NA,NA,NA,NA,NA,NA,NA,NA
"48","2013-W01-FRH01","FRH01",1,2013,8.91081094741821,9.08327595392864,8.80680950482686,9.06069779396058,NA,NA,NA,NA,NA,NA,NA,NA
"49","2013-W01-FRH02","FRH02",1,2013,10.2267875671387,10.4543549219767,10.0619704723358,10.4362921714782,NA,NA,NA,NA,NA,NA,NA,NA
"50","2013-W01-FRH03","FRH03",1,2013,8.79353721936544,8.9152910709381,8.72991911570231,8.91135255495706,NA,NA,NA,NA,NA,NA,NA,NA
"51","2013-W01-FRH04","FRH04",1,2013,9.07640878359477,9.32115658124287,8.97924176851907,9.28347229957579,NA,NA,NA,NA,NA,NA,NA,NA
"52","2013-W01-FRI11","FRI11",1,2013,8.26466067632039,8.28540198008219,8.25779549280803,8.28496623039245,NA,NA,NA,NA,NA,NA,NA,NA
"53","2013-W01-FRI12","FRI12",1,2013,9.54383627573648,9.60386657714842,9.5661810239156,9.59791604677836,NA,NA,NA,NA,NA,NA,NA,NA
"54","2013-W01-FRI13","FRI13",1,2013,9.42125717798869,9.56521797180175,9.40379540125528,9.53584456443787,NA,NA,NA,NA,NA,NA,NA,NA
"55","2013-W01-FRI14","FRI14",1,2013,8.4642809232076,8.52172613143921,8.45640301704407,8.52165190378826,NA,NA,NA,NA,NA,NA,NA,NA
"56","2013-W01-FRI15","FRI15",1,2013,9.07111891110739,9.72377435366313,8.60950207710265,9.61700471242268,NA,NA,NA,NA,NA,NA,NA,NA
"57","2013-W01-FRI21","FRI21",1,2013,7.90906500816345,8.14077456792196,7.81852992375692,8.14105757077536,NA,NA,NA,NA,NA,NA,NA,NA
"58","2013-W01-FRI22","FRI22",1,2013,6.35448757807414,6.43166446685791,6.32101440429688,6.43052403132121,NA,NA,NA,NA,NA,NA,NA,NA
"59","2013-W01-FRI23","FRI23",1,2013,7.56252113978068,7.72460452715556,7.53355797131856,7.72451416651408,NA,NA,NA,NA,NA,NA,NA,NA
"60","2013-W01-FRI31","FRI31",1,2013,8.90054154396056,9.07279658317566,8.84233498573304,9.07163262367249,NA,NA,NA,NA,NA,NA,NA,NA
"61","2013-W01-FRI32","FRI32",1,2013,9.64783064524334,9.73726216952005,9.6185123125712,9.73249491055809,NA,NA,NA,NA,NA,NA,NA,NA
"62","2013-W01-FRI33","FRI33",1,2013,9.03274178504944,9.13948663075765,9.01764543851216,9.14116938908895,NA,NA,NA,NA,NA,NA,NA,NA
"63","2013-W01-FRI34","FRI34",1,2013,8.97300712267557,9.10881114006042,8.92415332794189,9.10851049423219,NA,NA,NA,NA,NA,NA,NA,NA
"64","2013-W01-FRJ11","FRJ11",1,2013,10.3570370674134,10.5632351239522,10.3716092904409,10.4834609031677,NA,NA,NA,NA,NA,NA,NA,NA
"65","2013-W01-FRJ12","FRJ12",1,2013,12.386035601298,12.5712215105693,12.140735467275,12.5682562192281,NA,NA,NA,NA,NA,NA,NA,NA
"66","2013-W01-FRJ13","FRJ13",1,2013,12.5357669194539,13.9685082435608,11.5350552399953,13.9720295270284,NA,NA,NA,NA,NA,NA,NA,NA
"67","2013-W01-FRJ14","FRJ14",1,2013,6.92257126172383,7.23030906915665,6.85827692349752,7.23664738734563,NA,NA,NA,NA,NA,NA,NA,NA
"68","2013-W01-FRJ15","FRJ15",1,2013,13.0076350371043,15.967881043752,11.3759196599324,16.0206117630005,NA,NA,NA,NA,NA,NA,NA,NA
"69","2013-W01-FRJ21","FRJ21",1,2013,8.44781911373137,9.86607503890991,7.59316817919412,9.87578304608663,NA,NA,NA,NA,NA,NA,NA,NA
"70","2013-W01-FRJ22","FRJ22",1,2013,6.32697296142578,6.20251186688741,6.39076495170593,6.20322306950887,NA,NA,NA,NA,NA,NA,NA,NA
"71","2013-W01-FRJ23","FRJ23",1,2013,8.79832148551942,8.29594906171163,8.94601893424988,8.29569172859191,NA,NA,NA,NA,NA,NA,NA,NA
"72","2013-W01-FRJ24","FRJ24",1,2013,8.34966540336607,8.33102011680603,8.35288246472677,8.33112684885661,NA,NA,NA,NA,NA,NA,NA,NA
"73","2013-W01-FRJ25","FRJ25",1,2013,6.88462392489116,7.00168498357137,6.8367170492808,7.00452089309692,NA,NA,NA,NA,NA,NA,NA,NA
"74","2013-W01-FRJ26","FRJ26",1,2013,8.27841393152874,9.62312738100688,7.22356605529785,9.62757420539856,NA,NA,NA,NA,NA,NA,NA,NA
"75","2013-W01-FRJ27","FRJ27",1,2013,6.72159806887309,7.05047003428141,6.53691101074219,7.05013163884481,NA,NA,NA,NA,NA,NA,NA,NA
"76","2013-W01-FRJ28","FRJ28",1,2013,7.80989750226338,8.04483405749002,7.68132233619689,8.04381767908731,NA,NA,NA,NA,NA,NA,NA,NA
"77","2013-W01-FRK11","FRK11",1,2013,7.07481304804484,7.2288465499878,7.06264615058899,7.22965796788533,NA,NA,NA,NA,NA,NA,NA,NA
"78","2013-W01-FRK12","FRK12",1,2013,6.39102053642273,6.52600077788035,6.33249056339264,6.52872101465861,NA,NA,NA,NA,NA,NA,NA,NA
"79","2013-W01-FRK13","FRK13",1,2013,4.4495172103246,4.79344296455383,4.32136952877045,4.79964590072632,NA,NA,NA,NA,NA,NA,NA,NA
"80","2013-W01-FRK14","FRK14",1,2013,6.09722022215526,6.59783355395,5.97359812259674,6.59873525301615,NA,NA,NA,NA,NA,NA,NA,NA
"81","2013-W01-FRK21","FRK21",1,2013,6.68160287539164,6.89497558275859,6.52737855911255,6.89629499117533,NA,NA,NA,NA,NA,NA,NA,NA
"82","2013-W01-FRK22","FRK22",1,2013,8.2408165136973,8.97627210617065,7.69975813229878,8.9813236395518,NA,NA,NA,NA,NA,NA,NA,NA
"83","2013-W01-FRK23","FRK23",1,2013,8.3155320485433,8.50776052474976,8.1559366385142,8.5298691590627,NA,NA,NA,NA,NA,NA,NA,NA
"84","2013-W01-FRK24","FRK24",1,2013,5.55665139357249,6.48161546389262,4.42550466458003,6.48015681902567,NA,NA,NA,NA,NA,NA,NA,NA
"85","2013-W01-FRK25","FRK25",1,2013,5.9553515513738,5.9055167833964,5.81139544645945,5.89933093388875,NA,NA,NA,NA,NA,NA,NA,NA
"86","2013-W01-FRK26","FRK26",1,2013,6.53171396255493,7.41950066884359,4.63978016376495,7.41613109906514,NA,NA,NA,NA,NA,NA,NA,NA
