"","ID","X","NUTSID","iso_week","iso_yr","mean_tmpmean","mean_tmpwgtmean","mean_tmplogwgtmean","mean_tmp65plsmean","geo_code","geo_lab","year","TIME_PERIOD","death_count_tot","death_pop_an","stn_death","crude_death","min_tmpavg","min_tmpwgtavg","min_tmplogwgtavg","min_tmp65plsavg","max_tmpavg","max_tmpwgtavg","max_tmplogwgtavg","max_tmp65plsavg"
"1","2013-W01-FR101",1,"FR101",1,2013,8.25329597791036,8.25936365127563,8.25693321228027,8.2593895594279,NA,NA,NA,NA,NA,NA,NA,NA,6.78805180390676,6.79872679710388,6.79329605897268,6.79874960581462,9.83503198623657,9.84017785390218,9.83808724085491,9.84021155039469
"2","2013-W01-FR102",2,"FR102",1,2013,7.23969761530559,7.58466378847758,7.05547086397807,7.58136558532715,NA,NA,NA,NA,NA,NA,NA,NA,5.61508054534594,5.91991410652797,5.45030896862348,5.91796793540319,8.70825775464376,8.97833522160848,8.55397343635559,8.97596756617228
"3","2013-W01-FR103",3,"FR103",1,2013,7.07301735877991,7.40086245536804,6.07765221595764,7.39750107129415,NA,NA,NA,NA,NA,NA,NA,NA,5.44834012786547,5.77945825457573,4.42930878947179,5.77579638361931,8.70544513066609,9.01337536176046,7.80242681503296,9.01000634829203
"4","2013-W01-FR104",4,"FR104",1,2013,7.18712123235067,7.4918163617452,6.044185201327,7.48996734619141,NA,NA,NA,NA,NA,NA,NA,NA,5.43847907086213,5.84210554758708,4.079103688399,5.84006118774414,8.906050046285,9.12518970171611,7.9881583849589,9.12358880043029
"5","2013-W01-FR105",5,"FR105",1,2013,8.03351251284281,8.09133466084798,8.06152232487996,8.09096765518188,NA,NA,NA,NA,NA,NA,NA,NA,6.44400731722514,6.50410012404124,6.47271315256755,6.50371166070302,9.65817340215046,9.72503089904785,9.6904117266337,9.72477753957112
"6","2013-W01-FR106",6,"FR106",1,2013,8.10241850217183,8.16283249855042,8.1492383480072,8.16267506281535,NA,NA,NA,NA,NA,NA,NA,NA,6.64328138033549,6.71262049674988,6.68815426031748,6.71243381500244,9.47029733657837,9.58429320653279,9.53561544418336,9.58382987976075
"7","2013-W01-FR107",7,"FR107",1,2013,8.04972116152445,8.13954734802246,8.0906937122345,8.13960067431132,NA,NA,NA,NA,NA,NA,NA,NA,6.49871973196665,6.63799520333608,6.56508461634318,6.6379820505778,9.442746480306,9.57205549875896,9.49868949254354,9.57202974955242
"8","2013-W01-FR108",8,"FR108",1,2013,7.88786705334982,8.14006980260213,12.0732423464457,8.14015293121338,NA,NA,NA,NA,NA,NA,NA,NA,6.31483739614487,6.64035065968831,11.5544961293538,6.64074623584747,9.4343036810557,9.6425108909607,12.6536321640015,9.64247147242228
"9","2013-W01-FRB01",9,"FRB01",1,2013,6.27978479862213,6.44169553120931,6.26330272356669,6.44013408819835,NA,NA,NA,NA,NA,NA,NA,NA,4.5241733888785,4.67083609600862,4.5088978856802,4.66949744025866,8.01603674888611,8.17772706349691,8.00326689084371,8.17601426442464
"10","2013-W01-FRB02",10,"FRB02",1,2013,6.75512329737345,6.85834217071533,6.73988008499146,6.85658121109009,NA,NA,NA,NA,NA,NA,NA,NA,5.1905416448911,5.2994643052419,5.17384067177773,5.29952822128932,8.372882604599,8.48003077507019,8.35504126548767,8.47784050305684
"11","2013-W01-FRB03",11,"FRB03",1,2013,6.52130397160848,6.52705907821655,6.54186805089315,6.52302765846253,NA,NA,NA,NA,NA,NA,NA,NA,4.80010506262382,4.78098062674204,4.82236971706152,4.77739026645819,8.3361599445343,8.31211638450623,8.36393976211548,8.30802202224731
"12","2013-W01-FRB04",12,"FRB04",1,2013,7.1180526415507,7.26344919204712,7.07156046231588,7.2630496819814,NA,NA,NA,NA,NA,NA,NA,NA,5.38336023936669,5.58202469348908,5.32991938541333,5.58147749304772,8.90432159105936,8.95508710543314,8.87118085225423,8.95523190498352
"13","2013-W01-FRB05",13,"FRB05",1,2013,6.86073287328084,6.88374821345011,6.8526132106781,6.88356606165568,NA,NA,NA,NA,NA,NA,NA,NA,4.96411796410878,4.96930817763011,4.94308044513066,4.96922237674395,8.79242205619811,8.8218801021576,8.80190436045328,8.82187422116598
