"","NUTSID","LEVL","CNTR","NAME_LATIN","NAME","MOUNT","URBN","COAST","FID","avg_tmp_max","Date"
"1","FRJ13",3,"FR","Hérault","Hérault",4,2,1,"FRJ13",12.2216939926147,"2016-01-01"
"2","FRJ14",3,"FR","Lozère","Lozère",3,3,3,"FRJ14",6.9513144493103,"2016-01-01"
"3","FRJ15",3,"FR","Pyrénées-Orientales","Pyrénées-Orientales",2,2,1,"FRJ15",11.5703868865967,"2016-01-01"
"4","FRJ21",3,"FR","Ariège","Ariège",3,3,3,"FRJ21",9.6960277557373,"2016-01-01"
"5","FRK24",3,"FR","Isère","Isère",2,2,3,"FRK24",8.50113391876221,"2016-01-01"
"6","FRK25",3,"FR","Loire","Loire",3,2,3,"FRK25",9.61136436462402,"2016-01-01"
"7","FRK26",3,"FR","Rhône","Rhône",2,1,3,"FRK26",9.72614097595215,"2016-01-01"
"8","FRK27",3,"FR","Savoie","Savoie",3,2,3,"FRK27",4.65819883346558,"2016-01-01"
"9","FRK28",3,"FR","Haute-Savoie","Haute-Savoie",3,2,3,"FRK28",5.10735034942627,"2016-01-01"
"10","FRJ22",3,"FR","Aveyron","Aveyron",3,3,3,"FRJ22",10.1925868988037,"2016-01-01"
"11","FRJ23",3,"FR","Haute-Garonne","Haute-Garonne",4,1,3,"FRJ23",12.4224309921265,"2016-01-01"
"12","FRJ24",3,"FR","Gers","Gers",4,3,3,"FRJ24",12.634804725647,"2016-01-01"
"13","FRJ25",3,"FR","Lot","Lot",4,3,3,"FRJ25",13.215389251709,"2016-01-01"
"14","FRJ26",3,"FR","Hautes-Pyrénées","Hautes-Pyrénées",2,3,3,"FRJ26",11.6351919174194,"2016-01-01"
"15","FRJ27",3,"FR","Tarn","Tarn",4,3,3,"FRJ27",12.2630767822266,"2016-01-01"
"16","FRJ28",3,"FR","Tarn-et-Garonne","Tarn-et-Garonne",4,3,3,"FRJ28",13.5179815292358,"2016-01-01"
"17","FRK11",3,"FR","Allier","Allier",4,3,3,"FRK11",10.4556446075439,"2016-01-01"
"18","FRK12",3,"FR","Cantal","Cantal",3,3,3,"FRK12",8.81910991668701,"2016-01-01"
"19","FRK13",3,"FR","Haute-Loire","Haute-Loire",3,3,3,"FRK13",8.41705894470215,"2016-01-01"
"20","FRK14",3,"FR","Puy-de-Dôme","Puy-de-Dôme",3,2,3,"FRK14",9.59087371826172,"2016-01-01"
"21","FRK21",3,"FR","Ain","Ain",4,3,3,"FRK21",8.46964931488037,"2016-01-01"
"22","FRK22",3,"FR","Ardèche","Ardèche",3,3,3,"FRK22",8.90183448791504,"2016-01-01"
"23","FRK23",3,"FR","Drôme","Drôme",2,3,3,"FRK23",10.6724395751953,"2016-01-01"
"24","FRL01",3,"FR","Alpes-de-Haute-Provence","Alpes-de-Haute-Provence",3,3,3,"FRL01",8.22054195404053,"2016-01-01"
"25","FRL02",3,"FR","Hautes-Alpes","Hautes-Alpes",3,3,3,"FRL02",7.3836612701416,"2016-01-01"
"26","FRL03",3,"FR","Alpes-Maritimes","Alpes-Maritimes",2,1,1,"FRL03",6.94077444076538,"2016-01-01"
"27","FRL04",3,"FR","Bouches-du-Rhône","Bouches-du-Rhône",4,1,1,"FRL04",12.9269304275513,"2016-01-01"
"28","FRL05",3,"FR","Var","Var",2,2,1,"FRL05",10.6431875228882,"2016-01-01"
"29","FRL06",3,"FR","Vaucluse","Vaucluse",2,2,3,"FRL06",11.0481605529785,"2016-01-01"
"30","FRM01",3,"FR","Corse-du-Sud","Corse-du-Sud",3,3,1,"FRM01",13.5920476913452,"2016-01-01"
"31","FRM02",3,"FR","Haute-Corse","Haute-Corse",3,3,1,"FRM02",10.3494987487793,"2016-01-01"
"32","FR101",3,"FR","Paris","Paris",4,1,3,"FR101",9.27094745635986,"2016-01-01"
"33","FR102",3,"FR","Seine-et-Marne","Seine-et-Marne",4,2,3,"FR102",8.84951114654541,"2016-01-01"
"34","FR103",3,"FR","Yvelines","Yvelines",4,1,3,"FR103",8.91992473602295,"2016-01-01"
"35","FR104",3,"FR","Essonne","Essonne",4,1,3,"FR104",8.84111595153809,"2016-01-01"
"36","FR105",3,"FR","Hauts-de-Seine","Hauts-de-Seine",4,1,3,"FR105",9.42373752593994,"2016-01-01"
"37","FR106",3,"FR","Seine-Saint-Denis","Seine-Saint-Denis",4,1,3,"FR106",8.85156536102295,"2016-01-01"
"38","FR107",3,"FR","Val-de-Marne","Val-de-Marne",4,1,3,"FR107",8.78386402130127,"2016-01-01"
"39","FR108",3,"FR","Val-d’Oise","Val-d’Oise",4,1,3,"FR108",8.70630168914795,"2016-01-01"
"40","FRB01",3,"FR","Cher","Cher",4,3,3,"FRB01",10.2898120880127,"2016-01-01"
"41","FRB02",3,"FR","Eure-et-Loir","Eure-et-Loir",4,3,3,"FRB02",9.0377950668335,"2016-01-01"
"42","FRB03",3,"FR","Indre","Indre",4,3,3,"FRB03",12.1309776306152,"2016-01-01"
"43","FRB04",3,"FR","Indre-et-Loire","Indre-et-Loire",4,2,3,"FRB04",11.2138357162476,"2016-01-01"
"44","FRB05",3,"FR","Loir-et-Cher","Loir-et-Cher",4,3,3,"FRB05",10.3985757827759,"2016-01-01"
"45","FRB06",3,"FR","Loiret","Loiret",4,2,3,"FRB06",9.61229515075684,"2016-01-01"
"46","FRC11",3,"FR","Côte-d’Or","Côte-d’Or",4,2,3,"FRC11",7.68467569351196,"2016-01-01"
"47","FRC12",3,"FR","Nièvre","Nièvre",4,3,3,"FRC12",9.10321807861328,"2016-01-01"
"48","FRC13",3,"FR","Saône-et-Loire","Saône-et-Loire",4,3,3,"FRC13",8.36738967895508,"2016-01-01"
"49","FRC14",3,"FR","Yonne","Yonne",4,3,3,"FRC14",9.16137409210205,"2016-01-01"
"50","FRC21",3,"FR","Doubs","Doubs",2,2,3,"FRC21",7.99073457717896,"2016-01-01"
