"","NUTSID","LEVL","CNTR","NAME_LATIN","NAME","MOUNT","URBN","COAST","FID","avg_tmp_max","Date"
"1","FRJ13",3,"FR","Hérault","Hérault",4,2,1,"FRJ13",12.9654331207275,"2022-01-01"
"2","FRJ14",3,"FR","Lozère","Lozère",3,3,3,"FRJ14",17.7514514923096,"2022-01-01"
"3","FRJ15",3,"FR","Pyrénées-Orientales","Pyrénées-Orientales",2,2,1,"FRJ15",14.5039110183716,"2022-01-01"
"4","FRJ21",3,"FR","Ariège","Ariège",3,3,3,"FRJ21",16.5086135864258,"2022-01-01"
"5","FRK24",3,"FR","Isère","Isère",2,2,3,"FRK24",14.7135801315308,"2022-01-01"
"6","FRK25",3,"FR","Loire","Loire",3,2,3,"FRK25",15.1237907409668,"2022-01-01"
"7","FRK26",3,"FR","Rhône","Rhône",2,1,3,"FRK26",11.5273056030273,"2022-01-01"
"8","FRK27",3,"FR","Savoie","Savoie",3,2,3,"FRK27",11.9551496505737,"2022-01-01"
"9","FRK28",3,"FR","Haute-Savoie","Haute-Savoie",3,2,3,"FRK28",12.051833152771,"2022-01-01"
"10","FRJ22",3,"FR","Aveyron","Aveyron",3,3,3,"FRJ22",18.0379505157471,"2022-01-01"
"11","FRJ23",3,"FR","Haute-Garonne","Haute-Garonne",4,1,3,"FRJ23",16.6551818847656,"2022-01-01"
"12","FRJ24",3,"FR","Gers","Gers",4,3,3,"FRJ24",18.86403465271,"2022-01-01"
"13","FRJ25",3,"FR","Lot","Lot",4,3,3,"FRJ25",18.0306739807129,"2022-01-01"
"14","FRJ26",3,"FR","Hautes-Pyrénées","Hautes-Pyrénées",2,3,3,"FRJ26",18.8160934448242,"2022-01-01"
"15","FRJ27",3,"FR","Tarn","Tarn",4,3,3,"FRJ27",16.792947769165,"2022-01-01"
"16","FRJ28",3,"FR","Tarn-et-Garonne","Tarn-et-Garonne",4,3,3,"FRJ28",16.6438941955566,"2022-01-01"
"17","FRK11",3,"FR","Allier","Allier",4,3,3,"FRK11",15.7489452362061,"2022-01-01"
"18","FRK12",3,"FR","Cantal","Cantal",3,3,3,"FRK12",18.5815391540527,"2022-01-01"
"19","FRK13",3,"FR","Haute-Loire","Haute-Loire",3,3,3,"FRK13",17.0428009033203,"2022-01-01"
"20","FRK14",3,"FR","Puy-de-Dôme","Puy-de-Dôme",3,2,3,"FRK14",17.4816761016846,"2022-01-01"
"21","FRK21",3,"FR","Ain","Ain",4,3,3,"FRK21",11.2155141830444,"2022-01-01"
"22","FRK22",3,"FR","Ardèche","Ardèche",3,3,3,"FRK22",16.3603687286377,"2022-01-01"
"23","FRK23",3,"FR","Drôme","Drôme",2,3,3,"FRK23",15.09250831604,"2022-01-01"
"24","FRL01",3,"FR","Alpes-de-Haute-Provence","Alpes-de-Haute-Provence",3,3,3,"FRL01",16.9773921966553,"2022-01-01"
"25","FRL02",3,"FR","Hautes-Alpes","Hautes-Alpes",3,3,3,"FRL02",14.6726942062378,"2022-01-01"
"26","FRL03",3,"FR","Alpes-Maritimes","Alpes-Maritimes",2,1,1,"FRL03",16.4271507263184,"2022-01-01"
"27","FRL04",3,"FR","Bouches-du-Rhône","Bouches-du-Rhône",4,1,1,"FRL04",11.3075532913208,"2022-01-01"
"28","FRL05",3,"FR","Var","Var",2,2,1,"FRL05",14.5772943496704,"2022-01-01"
"29","FRL06",3,"FR","Vaucluse","Vaucluse",2,2,3,"FRL06",12.0082035064697,"2022-01-01"
"30","FRM01",3,"FR","Corse-du-Sud","Corse-du-Sud",3,3,1,"FRM01",14.1477136611938,"2022-01-01"
"31","FRM02",3,"FR","Haute-Corse","Haute-Corse",3,3,1,"FRM02",14.5509157180786,"2022-01-01"
"32","FR101",3,"FR","Paris","Paris",4,1,3,"FR101",14.3879623413086,"2022-01-01"
"33","FR102",3,"FR","Seine-et-Marne","Seine-et-Marne",4,2,3,"FR102",14.2803516387939,"2022-01-01"
"34","FR103",3,"FR","Yvelines","Yvelines",4,1,3,"FR103",14.6013107299805,"2022-01-01"
"35","FR104",3,"FR","Essonne","Essonne",4,1,3,"FR104",13.9386796951294,"2022-01-01"
"36","FR105",3,"FR","Hauts-de-Seine","Hauts-de-Seine",4,1,3,"FR105",14.3304796218872,"2022-01-01"
"37","FR106",3,"FR","Seine-Saint-Denis","Seine-Saint-Denis",4,1,3,"FR106",14.5610227584839,"2022-01-01"
"38","FR107",3,"FR","Val-de-Marne","Val-de-Marne",4,1,3,"FR107",14.0030746459961,"2022-01-01"
"39","FR108",3,"FR","Val-d’Oise","Val-d’Oise",4,1,3,"FR108",14.826961517334,"2022-01-01"
