"","NUTSID","LEVL","CNTR","NAME_LATIN","NAME","MOUNT","URBN","COAST","FID","avg_tmp_max","Date"
"1","FRJ13",3,"FR","Hérault","Hérault",4,2,1,"FRJ13",10.6317386627197,"2014-01-01"
"2","FRJ14",3,"FR","Lozère","Lozère",3,3,3,"FRJ14",5.50790214538574,"2014-01-01"
"3","FRJ15",3,"FR","Pyrénées-Orientales","Pyrénées-Orientales",2,2,1,"FRJ15",9.15048599243164,"2014-01-01"
"4","FRJ21",3,"FR","Ariège","Ariège",3,3,3,"FRJ21",8.20276165008545,"2014-01-01"
"5","FRK24",3,"FR","Isère","Isère",2,2,3,"FRK24",8.71081256866455,"2014-01-01"
"6","FRK25",3,"FR","Loire","Loire",3,2,3,"FRK25",10.9217319488525,"2014-01-01"
"7","FRK26",3,"FR","Rhône","Rhône",2,1,3,"FRK26",11.4002313613892,"2014-01-01"
"8","FRK27",3,"FR","Savoie","Savoie",3,2,3,"FRK27",4.15534734725952,"2014-01-01"
"9","FRK28",3,"FR","Haute-Savoie","Haute-Savoie",3,2,3,"FRK28",5.42676019668579,"2014-01-01"
"10","FRJ22",3,"FR","Aveyron","Aveyron",3,3,3,"FRJ22",9.47360420227051,"2014-01-01"
"11","FRJ23",3,"FR","Haute-Garonne","Haute-Garonne",4,1,3,"FRJ23",10.6661911010742,"2014-01-01"
"12","FRJ24",3,"FR","Gers","Gers",4,3,3,"FRJ24",12.1685209274292,"2014-01-01"
"13","FRJ25",3,"FR","Lot","Lot",4,3,3,"FRJ25",12.1265230178833,"2014-01-01"
"14","FRJ26",3,"FR","Hautes-Pyrénées","Hautes-Pyrénées",2,3,3,"FRJ26",9.16314315795898,"2014-01-01"
"15","FRJ27",3,"FR","Tarn","Tarn",4,3,3,"FRJ27",12.0191230773926,"2014-01-01"
"16","FRJ28",3,"FR","Tarn-et-Garonne","Tarn-et-Garonne",4,3,3,"FRJ28",12.471004486084,"2014-01-01"
"17","FRK11",3,"FR","Allier","Allier",4,3,3,"FRK11",11.3513612747192,"2014-01-01"
"18","FRK12",3,"FR","Cantal","Cantal",3,3,3,"FRK12",7.17016935348511,"2014-01-01"
"19","FRK13",3,"FR","Haute-Loire","Haute-Loire",3,3,3,"FRK13",7.80644369125366,"2014-01-01"
"20","FRK14",3,"FR","Puy-de-Dôme","Puy-de-Dôme",3,2,3,"FRK14",8.96668815612793,"2014-01-01"
"21","FRK21",3,"FR","Ain","Ain",4,3,3,"FRK21",10.331862449646,"2014-01-01"
"22","FRK22",3,"FR","Ardèche","Ardèche",3,3,3,"FRK22",8.1513147354126,"2014-01-01"
"23","FRK23",3,"FR","Drôme","Drôme",2,3,3,"FRK23",9.93710708618164,"2014-01-01"
"24","FRL01",3,"FR","Alpes-de-Haute-Provence","Alpes-de-Haute-Provence",3,3,3,"FRL01",6.74036169052124,"2014-01-01"
"25","FRL02",3,"FR","Hautes-Alpes","Hautes-Alpes",3,3,3,"FRL02",3.94179821014404,"2014-01-01"
