"","ID","NUTSID","iso_week","iso_yr","avg_temp","wgt_temp","wgt_logtemp","wgt_65plstemp","geo_code","geo_lab","year","TIME_PERIOD","death_count_tot","death_pop_an","stn_death","crude_death"
"1","2014-W01-FR101","FR101",1,2014,9.93376827239992,9.93679866790773,9.93409709930421,9.93676910400391,"FR101","Paris",2014,"2014-W01",340,2220445,16.2988687158966,15.3122459687135
"2","2014-W01-FR102","FR102",1,2014,8.85709218978882,8.94789543151856,8.89950675964356,9.13574924468994,"FR102","Seine-et-Marne",2014,"2014-W01",158,1377846,14.8668788024869,11.4671741254102
"3","2014-W01-FR103","FR103",1,2014,8.85159997940064,8.97672815322877,8.89777784347535,9.1648006439209,"FR103","Yvelines",2014,"2014-W01",151,1421670,11.7464499748835,10.6213115561277
"4","2014-W01-FR104","FR104",1,2014,9.1470461845398,9.22195549011231,9.1739450454712,9.29840068817138,"FR104","Essonne",2014,"2014-W01",178,1268228,16.9855354748315,14.0353311865059
"5","2014-W01-FR105","FR105",1,2014,9.85895709991453,9.90437698364257,9.87585048675535,9.91033611297608,"FR105","Hauts-de-Seine",2014,"2014-W01",210,1597770,14.1261353240885,13.1433185001596
"6","2014-W01-FR106","FR106",1,2014,9.70711307525633,9.81685314178465,9.75367202758788,9.82626190185549,"FR106","Seine-Saint-Denis",2014,"2014-W01",167,1571028,15.8340323611452,10.6299824064243
"7","2014-W01-FR107","FR107",1,2014,9.60644798278809,9.69148254394531,9.63271284103394,9.7093023300171,"FR107","Val-de-Marne",2014,"2014-W01",154,1365039,12.9060265642908,11.2817289469385
"8","2014-W01-FR108","FR108",1,2014,9.44565677642821,9.63619146347044,9.52676973342897,9.77432956695556,"FR108","Val-d'Oise",2014,"2014-W01",134,1205539,15.118182089188,11.1153600173864
"9","2014-W01-FRB01","FRB01",1,2014,9.02161026000975,9.01748619079589,9.02467136383056,9.08832178115846,"FRB01","Cher",2014,"2014-W01",79,310270,18.628651742692,25.4616946530441
"10","2014-W01-FRB02","FRB02",1,2014,8.68725957870482,8.69696340560914,8.69107561111449,8.74147043228149,"FRB02","Eure-et-Loir",2014,"2014-W01",66,433762,13.472275949756,15.215717374966
"11","2014-W01-FRB03","FRB03",1,2014,9.41129684448242,9.40979051589964,9.41521282196044,9.40354347229004,"FRB03","Indre",2014,"2014-W01",57,226175,16.1997905112599,25.2017243285067
"12","2014-W01-FRB04","FRB04",1,2014,9.30840291976928,9.28246116638183,9.27864894866943,9.3592001914978,"FRB04","Indre-et-Loire",2014,"2014-W01",118,603924,16.0190947684469,19.5388823759281
"13","2014-W01-FRB05","FRB05",1,2014,9.1350625038147,9.11411075592041,9.1223916053772,9.14322500228882,"FRB05","Loir-et-Cher",2014,"2014-W01",82,333567,17.3719086468455,24.5827674799965
"14","2014-W01-FRB06","FRB06",1,2014,9.10764083862304,9.12792043685913,9.12545595169067,9.16667079925537,"FRB06","Loiret",2014,"2014-W01",129,669737,17.2585840431314,19.2612921191453
"15","2014-W01-FRC11","FRC11",1,2014,6.95664510726929,6.97684621810913,7.00400609970093,6.99314441680908,"FRC11","Côte-d’Or",2014,"2014-W01",123,531380,19.9390028854838,23.1472769016523
"16","2014-W01-FRC12","FRC12",1,2014,8.26739368438721,8.23730993270874,8.23345880508423,8.51006174087525,"FRC12","Nièvre",2014,"2014-W01",65,213569,18.301147343957,30.4351286937711
"17","2014-W01-FRC13","FRC13",1,2014,7.85652761459351,7.80163927078247,7.81157732009888,7.84360446929932,"FRC13","Saône-et-Loire",2014,"2014-W01",135,555788,17.419164698309,24.2898371321439
"18","2014-W01-FRC14","FRC14",1,2014,8.62771730422974,8.69242305755615,8.69583110809326,8.83468065261841,"FRC14","Yonne",2014,"2014-W01",83,341814,18.5620080196477,24.2822119632315
